seed,test_id,reset_model,result,observed_expected_counterexample,unexpected_failure,observed,classification,replay_cmd,notes
38,RAND-POST-UNAUTH-DMA,RST-A,PASS,NO,NO,DENY,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-8.elf +RC_TEST=8",exit=0
39,RAND-CPU-STORE-FAULT,RST-B,PASS,NO,NO,mcause=7,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-5.elf +RC_TEST=5",exit=0
40,RAND-EARLY-UNAUTH,RST-A,PASS,YES,NO,UNSAFE_REACHABLE,RESET_ASSUMPTION_DEPENDENCY,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-1.elf +RC_TEST=1",exit=0
41,RAND-POST-AUTH-DMA,RST-B,PASS,NO,NO,ALLOW,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-7.elf +RC_TEST=7",exit=0
42,RAND-POST-UNAUTH-DMA,RST-A,PASS,NO,NO,DENY,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-8.elf +RC_TEST=8",exit=0
43,RAND-CPU-STORE-FAULT,RST-B,PASS,NO,NO,mcause=7,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-5.elf +RC_TEST=5",exit=0
44,RAND-EARLY-UNAUTH,RST-A,PASS,YES,NO,UNSAFE_REACHABLE,RESET_ASSUMPTION_DEPENDENCY,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-1.elf +RC_TEST=1",exit=0
45,RAND-POST-AUTH-DMA,RST-B,PASS,NO,NO,ALLOW,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-7.elf +RC_TEST=7",exit=0
46,RAND-POST-UNAUTH-DMA,RST-A,PASS,NO,NO,DENY,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-8.elf +RC_TEST=8",exit=0
47,RAND-CPU-STORE-FAULT,RST-B,PASS,NO,NO,mcause=7,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-5.elf +RC_TEST=5",exit=0
48,RAND-EARLY-UNAUTH,RST-A,PASS,YES,NO,UNSAFE_REACHABLE,RESET_ASSUMPTION_DEPENDENCY,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-1.elf +RC_TEST=1",exit=0
49,RAND-POST-AUTH-DMA,RST-B,PASS,NO,NO,ALLOW,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-7.elf +RC_TEST=7",exit=0
50,RAND-POST-UNAUTH-DMA,RST-A,PASS,NO,NO,DENY,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-8.elf +RC_TEST=8",exit=0
51,RAND-CPU-STORE-FAULT,RST-B,PASS,NO,NO,mcause=7,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-5.elf +RC_TEST=5",exit=0
52,RAND-EARLY-UNAUTH,RST-A,PASS,YES,NO,UNSAFE_REACHABLE,RESET_ASSUMPTION_DEPENDENCY,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-1.elf +RC_TEST=1",exit=0
53,RAND-POST-AUTH-DMA,RST-B,PASS,NO,NO,ALLOW,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-7.elf +RC_TEST=7",exit=0
54,RAND-POST-UNAUTH-DMA,RST-A,PASS,NO,NO,DENY,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-8.elf +RC_TEST=8",exit=0
55,RAND-CPU-STORE-FAULT,RST-B,PASS,NO,NO,mcause=7,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-5.elf +RC_TEST=5",exit=0
56,RAND-EARLY-UNAUTH,RST-A,PASS,YES,NO,UNSAFE_REACHABLE,RESET_ASSUMPTION_DEPENDENCY,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-1.elf +RC_TEST=1",exit=0
57,RAND-POST-AUTH-DMA,RST-B,PASS,NO,NO,ALLOW,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-7.elf +RC_TEST=7",exit=0
58,RAND-POST-UNAUTH-DMA,RST-A,PASS,NO,NO,DENY,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rsta/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-8.elf +RC_TEST=8",exit=0
59,RAND-CPU-STORE-FAULT,RST-B,PASS,NO,NO,mcause=7,SIMULATION_EVIDENCE,"/home/mmr/ricv_paper/results/m7/realcore_reset/rstb/sim-verilator/Vm7_ibex_reset_composed_top --meminit=ram,/home/mmr/ricv_paper/m7/sw/ibex_reset/RC-5.elf +RC_TEST=5",exit=0
