seed,reset_model,cpu_release,dma_release,iopmp_release,sec_release,ic_release,early_dma_result,result,classification,observed,observed_expected_counterexample,unexpected_failure,replay
151,RST-B,11,12,13,14,15,DENY,PASS,SIMULATION_EVIDENCE,early_err=1 post_u=1 post_a=0 mcause=7,NO,NO,+REL_CPU=11 +REL_DMA=12 +REL_IOPMP=13 +REL_SEC=14 +REL_IC=15 +C5_TEST=200
152,RST-A,32,40,15,23,31,ALLOW,PASS,RESET_ASSUMPTION_DEPENDENCY,early_err=0 post_u=1 post_a=0 mcause=7,YES,NO,+REL_CPU=32 +REL_DMA=40 +REL_IOPMP=15 +REL_SEC=23 +REL_IC=31 +C5_TEST=200
153,RST-B,20,35,17,32,14,DENY,PASS,SIMULATION_EVIDENCE,early_err=1 post_u=1 post_a=0 mcause=7,NO,NO,+REL_CPU=20 +REL_DMA=35 +REL_IOPMP=17 +REL_SEC=32 +REL_IC=14 +C5_TEST=200
154,RST-A,8,30,19,8,30,ALLOW,PASS,RESET_ASSUMPTION_DEPENDENCY,early_err=0 post_u=1 post_a=0 mcause=7,YES,NO,+REL_CPU=8 +REL_DMA=30 +REL_IOPMP=19 +REL_SEC=8 +REL_IC=30 +C5_TEST=200
155,RST-B,29,25,21,17,13,DENY,PASS,SIMULATION_EVIDENCE,early_err=1 post_u=1 post_a=0 mcause=7,NO,NO,+REL_CPU=29 +REL_DMA=25 +REL_IOPMP=21 +REL_SEC=17 +REL_IC=13 +C5_TEST=200
156,RST-A,17,20,23,26,29,ALLOW,PASS,RESET_ASSUMPTION_DEPENDENCY,early_err=0 post_u=1 post_a=0 mcause=7,YES,NO,+REL_CPU=17 +REL_DMA=20 +REL_IOPMP=23 +REL_SEC=26 +REL_IC=29 +C5_TEST=200
157,RST-B,38,15,25,35,12,DENY,PASS,SIMULATION_EVIDENCE,early_err=1 post_u=1 post_a=0 mcause=7,NO,NO,+REL_CPU=38 +REL_DMA=15 +REL_IOPMP=25 +REL_SEC=35 +REL_IC=12 +C5_TEST=200
158,RST-A,26,10,27,11,28,ALLOW,PASS,RESET_ASSUMPTION_DEPENDENCY,early_err=0 post_u=1 post_a=0 mcause=7,YES,NO,+REL_CPU=26 +REL_DMA=10 +REL_IOPMP=27 +REL_SEC=11 +REL_IC=28 +C5_TEST=200
159,RST-B,14,38,29,20,11,DENY,PASS,SIMULATION_EVIDENCE,early_err=1 post_u=1 post_a=0 mcause=7,NO,NO,+REL_CPU=14 +REL_DMA=38 +REL_IOPMP=29 +REL_SEC=20 +REL_IC=11 +C5_TEST=200
160,RST-A,35,33,31,29,27,ALLOW,PASS,RESET_ASSUMPTION_DEPENDENCY,early_err=0 post_u=1 post_a=0 mcause=7,YES,NO,+REL_CPU=35 +REL_DMA=33 +REL_IOPMP=31 +REL_SEC=29 +REL_IC=27 +C5_TEST=200
