seed,nsaid,address,operation,configured,observed,bresp,rresp,memory_effect
55,2,0x000000002000008f,read,0,DENY,,2,0
55,3,0x000000002000009c,write,1,DENY,2,, 0
55,4,0x00000000200000a9,read,1,DENY,,2,0
55,5,0x00000000200000b6,write,0,DENY,2,, 0
55,6,0x00000000200000c3,read,1,DENY,,2,0
55,7,0x00000000200000d0,write,1,DENY,2,, 0
55,8,0x00000000200000dd,read,0,DENY,,2,0
55,9,0x00000000200000ea,write,1,DENY,2,, 0
55,10,0x00000000200000f7,read,1,DENY,,2,0
55,11,0x0000000020000004,write,0,DENY,2,, 0
55,12,0x0000000020000011,read,1,DENY,,2,0
55,13,0x000000002000001e,write,1,DENY,2,, 0
55,14,0x000000002000002b,read,0,DENY,,2,0
55,15,0x0000000020000038,write,1,DENY,2,, 0
55,0,0x0000000020000045,read,1,DENY,,2,0
55,1,0x0000000020000052,write,0,DENY,2,, 0
55,2,0x000000002000005f,read,1,DENY,,2,0
55,3,0x000000002000006c,write,1,DENY,2,, 0
55,4,0x0000000020000079,read,0,DENY,,2,0
55,5,0x0000000020000086,write,1,DENY,2,, 0
55,6,0x0000000020000093,read,1,DENY,,2,0
55,7,0x00000000200000a0,write,0,DENY,2,, 0
55,8,0x00000000200000ad,read,1,DENY,,2,0
55,9,0x00000000200000ba,write,1,DENY,2,, 0
55,10,0x00000000200000c7,read,0,DENY,,2,0
55,11,0x00000000200000d4,write,1,DENY,2,, 0
55,12,0x00000000200000e1,read,1,DENY,,2,0
55,13,0x00000000200000ee,write,0,DENY,2,, 0
55,14,0x00000000200000fb,read,1,DENY,,2,0
55,15,0x0000000020000008,write,1,DENY,2,, 0
55,0,0x0000000020000015,read,0,DENY,,2,0
55,1,0x0000000020000022,write,1,DENY,2,, 0
55,2,0x000000002000002f,read,1,DENY,,2,0
55,3,0x000000002000003c,write,0,DENY,2,, 0
55,4,0x0000000020000049,read,1,DENY,,2,0
55,5,0x0000000020000056,write,1,DENY,2,, 0
55,6,0x0000000020000063,read,0,DENY,,2,0
55,7,0x0000000020000070,write,1,DENY,2,, 0
55,8,0x000000002000007d,read,1,DENY,,2,0
55,9,0x000000002000008a,write,0,DENY,2,, 0
55,10,0x0000000020000097,read,1,DENY,,2,0
55,11,0x00000000200000a4,write,1,DENY,2,, 0
55,12,0x00000000200000b1,read,0,DENY,,2,0
55,13,0x00000000200000be,write,1,DENY,2,, 0
55,14,0x00000000200000cb,read,1,DENY,,2,0
55,15,0x00000000200000d8,write,0,DENY,2,, 0
55,0,0x00000000200000e5,read,1,DENY,,2,0
55,1,0x00000000200000f2,write,1,DENY,2,, 0
55,2,0x00000000200000ff,read,0,DENY,,2,0
55,3,0x000000002000000c,write,1,DENY,2,, 0
55,4,0x0000000020000019,read,1,DENY,,2,0
55,5,0x0000000020000026,write,0,DENY,2,, 0
55,6,0x0000000020000033,read,1,DENY,,2,0
55,7,0x0000000020000040,write,1,DENY,2,, 0
55,8,0x000000002000004d,read,0,DENY,,2,0
